file,run_name,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,hp.ngrc_num_layers,final_train_perplexity
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(11.40M_d64_lag32_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211153_report.txt,multilayer_NGRC(11.40M_d64_lag32_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211153,64,32,1,6,822.4784116881648
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(111.42M_d128_lag64_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-012756_report.txt,multilayer_NGRC(111.42M_d128_lag64_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-012756,128,64,2,12,1745.963208992966
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(120.10M_d512_lag16_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-210607_report.txt,multilayer_NGRC(120.10M_d512_lag16_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-210607,512,16,1,18,1729.770102049983
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(125.29M_d128_lag48_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-005448_report.txt,multilayer_NGRC(125.29M_d128_lag48_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-005448,128,48,2,18,1744.3837626533586
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(135.55M_d256_lag16_poly3_layer18_rank512_lr0.0005_bs200_seq256_20251217-023041_report.txt,multilayer_NGRC(135.55M_d256_lag16_poly3_layer18_rank512_lr0.0005_bs200_seq256_20251217-023041,256,16,3,18,1738.8288030939696
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(14.55M_d64_lag48_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211828_report.txt,multilayer_NGRC(14.55M_d64_lag48_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211828,64,48,1,6,826.0913183105476
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(141.32M_d512_lag32_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-213212_report.txt,multilayer_NGRC(141.32M_d512_lag32_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-213212,512,32,1,12,1733.6634971261021
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(161.75M_d128_lag96_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-020646_report.txt,multilayer_NGRC(161.75M_d128_lag96_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-020646,128,96,2,12,1744.704030043709
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(163.04M_d128_lag64_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-013432_report.txt,multilayer_NGRC(163.04M_d128_lag64_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-013432,128,64,2,18,1745.3006327980354
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(17.69M_d64_lag64_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-212602_report.txt,multilayer_NGRC(17.69M_d64_lag64_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-212602,64,64,1,6,839.6511014991818
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517_report.txt,multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517,512,48,1,12,1730.853428043184
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151_report.txt,multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151,512,32,1,18,1733.7684880523639
/work/gp36/b20072/NGRC_LM/src/reports_multilayer_NGRC/multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405_report.txt,multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405,128,16,2,6,433.8062390026618
