file,run_name,final_train_perplexity,final_val_perplexity,final_train_loss,final_val_loss,parameter_count,training_time_sec,seed,hp.local_rank,hp.deepspeed_config,hp.use_deepspeed,hp.local_batch_size,hp.use_gpu_amount,hp.learning_rate,hp.validate_every_steps,hp.save_checkpoint_every_steps,hp.generate_every,hp.seq_len,hp.total_tokens,hp.epochs,hp.grad_clip_norm,hp.beta1,hp.beta2,hp.weight_decay,hp.tokenizer_path,hp.ngrc_d_model,hp.ngrc_lag,hp.ngrc_poly_degree,hp.ngrc_max_cross_terms,hp.ngrc_readout_rank,hp.ngrc_num_layers,hp.ngrc_gating,hp.ngrc_embed_frozen,hp.ngrc_training,hp.ngrc_loss,hp.ngrc_ridge_alpha,hp.ngrc_ridge_max_batches,hp.dataset_path,hp.val_dataset_path,hp.wandb_project,hp.wandb_run_name,hp.api_file,hp.report_path,hp.hf_repo,hp.hf_private,hp.enable_compile
../reports_multilayer_NGRC/multilayer_NGRC(11.40M_d64_lag32_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211153_report.txt,multilayer_NGRC(11.40M_d64_lag32_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211153,822.4784116881648,881.1694978531985,6.712322235107422,6.78125,11399424,294.19209456443787,4035277,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,32,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(111.42M_d128_lag64_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-012756_report.txt,multilayer_NGRC(111.42M_d128_lag64_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-012756,1745.963208992966,1242.6481670549958,7.465061664581299,7.125,111422208,2216.7924592494965,4635268,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,64,2,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(120.10M_d512_lag16_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-210607_report.txt,multilayer_NGRC(120.10M_d512_lag16_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-210607,1729.770102049983,1242.6481670549958,7.455743789672852,7.125,120099840,2032.0166130065918,2283137,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,16,1,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(125.29M_d128_lag48_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-005448_report.txt,multilayer_NGRC(125.29M_d128_lag48_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-005448,1744.3837626533586,1242.6481670549958,7.464156627655029,7.125,125288448,2269.224339723587,2300909,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,48,2,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(135.55M_d256_lag16_poly3_layer18_rank512_lr0.0005_bs200_seq256_20251217-023041_report.txt,multilayer_NGRC(135.55M_d256_lag16_poly3_layer18_rank512_lr0.0005_bs200_seq256_20251217-023041,1738.8288030939696,1242.6481670549958,7.460967063903809,7.125,135552000,2404.229949951172,4828633,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,256,16,3,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(14.55M_d64_lag48_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211828_report.txt,multilayer_NGRC(14.55M_d64_lag48_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-211828,826.0913183105476,881.1694978531985,6.716705322265625,6.78125,14545152,348.9990744590759,3547925,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,48,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(141.32M_d512_lag32_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-213212_report.txt,multilayer_NGRC(141.32M_d512_lag32_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-213212,1733.6634971261021,1242.6481670549958,7.457992076873779,7.125,141321216,2469.2342658042908,2596800,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,32,1,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(161.75M_d128_lag96_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-020646_report.txt,multilayer_NGRC(161.75M_d128_lag96_poly2_layer12_rank512_lr0.0005_bs200_seq256_20251217-020646,1744.704030043709,1242.6481670549958,7.4643402099609375,7.125,161753856,3203.174966573715,1593480,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,96,2,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(163.04M_d128_lag64_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-013432_report.txt,multilayer_NGRC(163.04M_d128_lag64_poly2_layer18_rank512_lr0.0005_bs200_seq256_20251217-013432,1745.3006327980354,1242.6481670549958,7.464682102203369,7.125,163037184,3204.8264622688293,3749128,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,64,2,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(17.69M_d64_lag64_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-212602_report.txt,multilayer_NGRC(17.69M_d64_lag64_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-212602,839.6511014991818,854.0587625261516,6.7329864501953125,6.75,17690880,388.22257566452026,4025609,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,64,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517_report.txt,multilayer_NGRC(191.65M_d512_lag48_poly1_layer12_rank512_lr0.0005_bs200_seq256_20251216-221517,1730.853428043184,1242.6481670549958,7.456369876861572,7.125,191652864,3383.253837108612,3034325,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,48,1,256,512,12,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151_report.txt,multilayer_NGRC(195.60M_d512_lag32_poly1_layer18_rank512_lr0.0005_bs200_seq256_20251216-214151,1733.7684880523639,1242.6481670549958,7.458052635192871,7.125,195597312,3398.6146743297577,3792513,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,512,32,1,256,512,18,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405_report.txt,multilayer_NGRC(22.06M_d128_lag16_poly2_layer6_rank512_lr0.0005_bs200_seq256_20251216-214405,433.8062390026618,471.65604418826433,6.072597980499268,6.15625,22058496,412.46744894981384,4552953,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,128,16,2,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
../reports_multilayer_NGRC/multilayer_NGRC(23.98M_d64_lag96_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-213415_report.txt,multilayer_NGRC(23.98M_d64_lag96_poly1_layer6_rank512_lr0.0005_bs200_seq256_20251216-213415,1442.3414168749277,1322.7920882144774,7.274023056030273,7.1875,23982336,486.4384095668793,3574181,0,ds_config.json,False,200,1,0.0005,200,200,1000,256,100000000.0,1,0.0,0.9,0.95,0.1,meta-llama/Llama-2-7b-hf,64,96,1,256,512,6,layer,False,sgd,ce,0.001,200,HuggingFaceFW/fineweb-edu,vesteinn/babylm,NGRC_LanguageModel,,api.txt,../reports_multilayer_NGRC,,True,False
