hp.ngrc_poly_degree,hp.ngrc_lag,n,median,ci_lo,ci_hi
3.0,10,4,299.10894513320363,207.60992002029425,448.43058525135285
3.0,5,4,299.83862223142967,210.2124701907321,437.9946633081364
3.0,15,4,301.1489216307457,210.239034705047,444.52034771187823
3.0,20,4,304.35863484843645,214.435111706269,449.3291357737718
3.0,25,4,307.0466261625801,218.72265423439546,444.72006248036354
3.0,30,4,310.2194381645061,224.5832717049732,453.6038393082572
4.0,16,5,319.20906121615735,221.03175296717905,422.82825324375676
3.0,48,4,323.58541715309167,244.14241249534777,459.89233721981645
3.0,96,4,348.2667988970734,295.5974904004064,488.5598783645171
1.0,48,4,468.00845687689866,324.98674259939173,634.492550449158
1.0,96,4,498.6061462083885,363.9090565215087,655.3799783654132
