hp.ngrc_poly_degree,hp.ngrc_lag,count,mean,median,std
1.0,16,3,468.06261048383635,488.7020067714542,149.89349280941906
1.0,32,3,484.35041545185646,503.4767780421853,160.04038889381192
1.0,48,4,473.87405170058673,468.00845687689866,133.31509104274284
1.0,64,3,505.05769557619504,523.1167788430415,154.4488727381382
1.0,96,4,504.1253318259247,498.6061462083885,125.30719772190552
1.0,128,3,541.2050775027146,569.7638611500624,151.48984815560365
1.0,256,3,634.8857288786877,667.919114365245,198.17124004410667
2.0,16,3,383.58736383818473,396.2369028422126,125.76659555941399
2.0,32,3,401.15307798000566,413.53676324610524,120.78110360532146
2.0,64,2,490.2204930462792,490.2204930462792,69.65605901117385
2.0,128,2,533.3098497981975,533.3098497981975,55.55879760304466
2.0,256,2,593.5487895641877,593.5487895641877,33.295708722170936
3.0,5,11,268.9138915473228,261.6236260145009,111.52825666512905
3.0,10,11,270.8427441327608,258.81381742699847,115.5821839842393
3.0,15,10,286.089829469517,271.19201320909445,111.67108523779409
3.0,16,3,336.4499552736601,341.5501988028787,121.61518857292835
3.0,20,9,309.17843492410327,279.7952256526855,100.47195769301767
3.0,25,9,313.61107020640515,285.6147893180349,99.52047220045901
3.0,30,9,317.9429774410777,290.31114853024513,97.4504685517978
3.0,32,3,345.36555504005446,347.01139047360783,118.3205753723033
3.0,48,4,337.80139600533687,323.58541715309167,93.71976425958579
3.0,64,3,366.9285908509283,367.93964996268227,109.49297554708852
3.0,96,4,370.17274163976754,348.2667988970734,86.49440813719892
3.0,128,2,446.45082603878643,446.45082603878643,64.20394041859423
3.0,256,2,499.9479038537369,499.9479038537369,70.09230292336416
4.0,16,5,328.2559589976431,319.20906121615735,92.56289396195729
4.0,32,3,351.3282636971371,340.36157443873276,67.87282039112651
4.0,48,2,417.92502049014604,417.92502049014604,55.31860723346485
4.0,64,1,467.90302843607236,467.90302843607236,
4.0,96,1,488.7241452441127,488.7241452441127,
5.0,16,3,375.361925849703,405.4622486695739,55.83375973513262
5.0,32,3,349.3405774241957,341.55622481760565,77.95925692231425
5.0,48,2,405.2707561663158,405.2707561663158,61.171495000734666
5.0,64,2,423.5819910281091,423.5819910281091,66.1241559432599
5.0,96,1,526.397952987764,526.397952987764,
6.0,16,2,427.9831988238963,427.9831988238963,2.171927405340461
6.0,32,1,480.68716543556695,480.68716543556695,
7.0,16,1,448.28926697365677,448.28926697365677,
