hp.ngrc_poly_degree,hp.ngrc_lag,count,mean,median,std
1.0,48,4,473.87405170058673,468.00845687689866,133.31509104274284
1.0,96,4,504.1253318259247,498.6061462083885,125.30719772190552
3.0,5,4,311.971094490432,299.83862223142967,99.08232798178294
3.0,10,4,313.5645988845136,299.10894513320363,105.00881667173573
3.0,15,4,314.26430641960417,301.1489216307457,101.47261523685553
3.0,20,4,318.1203792942284,304.35863484843645,101.84381736995621
3.0,25,4,319.3839922599798,307.0466261625801,98.27127903643424
3.0,30,4,324.65649683556063,310.2194381645061,100.24229453972939
3.0,48,4,337.80139600533687,323.58541715309167,93.71976425958579
3.0,96,4,370.17274163976754,348.2667988970734,86.49440813719892
4.0,16,5,328.2559589976431,319.20906121615735,92.56289396195729
