,final_train_perplexity,final_val_perplexity,msf_ppl
fro_norm,0.8884363901909639,0.8903264900625898,0.821195049871937
w_mean,-0.19792302998346112,-0.16070589073177996,-0.17095409402778147
w_std,0.8884363901909639,0.8903264900625898,0.821195049871937
w_sign_ratio,-0.2052674458583546,-0.18905460360782084,-0.157480315605616
w_skew,-0.0550238693323934,-0.07481487767259608,-0.07294282677945572
w_kurt,-0.19719903170277173,-0.15839553120328925,-0.10552274941047812
in_sum_var,0.8844543996471723,0.8876084200290714,0.8173940588983178
out_sum_var,0.8860833957787233,0.8900999842264633,0.8230955453587467
in_sum_cv,0.09194778164755213,0.0896736605224971,0.1955700355712206
out_sum_cv,-0.32398923060850066,-0.3090672133946635,-0.24380642102215103
in_sum_gini,0.12253670900667873,0.11730737252993494,0.20778750655785402
out_sum_gini,-0.32082173813048454,-0.30277035115034573,-0.24914590834223524
mean_abs_in_var,0.8916943824540661,0.8877443235307473,0.814860064915905
mean_abs_out_var,0.8922373811645832,0.8949925102867966,0.8188420554596966
mean_abs_in_cv,-0.014841964754132431,-0.05483706292623528,-0.08787529131867433
mean_abs_out_cv,-0.25231340082025133,-0.2419761847339824,-0.2578338877105079
k_in_var,0.03629287733209885,0.029946104237903087,0.036021359546571936
k_out_var,0.1795637621618058,0.14945869573501103,0.1795637621618058
k_in_cv,0.03629287733209885,0.029946104237903087,0.036021359546571936
k_out_cv,0.18164539851751224,0.15167860361346375,0.18128337480347634
sign_balance_var,0.06869399973831179,0.09482177937962352,0.13041904298143253
