id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250825-182430,1009661,696.4308683830601,881.1694978531985,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-182430'}/checkpoint_step6000_tokens98304000.pt,934.12
20250825-111543,1258472,3925.4120006161884,4074.4864777337,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-111543'}/checkpoint_step6000_tokens98304000.pt,6470.56
20250826-011344,1431302,718.5842131775732,568.9257878221232,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-011344'}/checkpoint_step6000_tokens98304000.pt,913.4
20250825-225148,1511225,617.1889333840724,827.7821368360857,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-225148'}/checkpoint_step6000_tokens98304000.pt,692.14
20250826-005005,1765394,738.1425357446524,1030.1915141420939,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-005005'}/checkpoint_step6000_tokens98304000.pt,684.16
20250826-031332,1823651,2237.3288770238432,3827.6258214399063,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-031332'}/checkpoint_step6000_tokens98304000.pt,5443.44
20250826-022614,1858064,987.7608151010787,777.629352507471,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-022614'}/checkpoint_step6000_tokens98304000.pt,732.84
20250825-191149,1954738,739.5598853256381,568.9257878221232,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-191149'}/checkpoint_step6000_tokens98304000.pt,589.86
20250826-002627,2110396,808.8329477097617,708.0395827712994,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250826-002627'}/checkpoint_step6000_tokens98304000.pt,1566.92
20250825-144835,2374739,1120.0762244306886,881.1694978531985,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-144835'}/checkpoint_step6000_tokens98304000.pt,2536.72
20250825-231527,2615080,2981.6033868156023,3827.6258214399063,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-231527'}/checkpoint_step6000_tokens98304000.pt,3206.36
20250825-155929,2734764,672.1226417098567,730.5151717727034,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-155929'}/checkpoint_step6000_tokens98304000.pt,1073.6
20250825-195906,2747289,840.2923495666874,502.07524555352444,checkpoint_4096/ESN_ml (18.51M N4096_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.95_sparsity0.99951171875_dropout0.0_r_out512_{'20250825-195906'}/checkpoint_step6000_tokens98304000.pt,550.94
