id,seed,final_train_perplexity,final_val_perplexity,model_path,msf_ppl
20250720-010954,191593,7946.621339723659,13359.726829661873,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-010954'}/checkpoint_step6000_tokens98304000.pt,25996.16
20250721-171945,216569,111.52386943575445,148.4131591025766,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-171945'}/checkpoint_step6000_tokens98304000.pt,667.42
20250722-114101,328634,340.00470815425825,304.5240299109616,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-114101'}/checkpoint_step6000_tokens98304000.pt,1454.8
20250721-211152,336023,895.4941412241585,1062.893303177624,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-211152'}/checkpoint_step6000_tokens98304000.pt,17512.68
20250718-032115,435797,1794.826897467795,1698.4986622608421,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-032115'}/checkpoint_step6000_tokens98304000.pt,6550.48
20250724-161236,447122,130.5295547399764,162.99996726850102,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250724-161236'}/checkpoint_step6000_tokens98304000.pt,5784.8
20250718-151303,469634,3363.765233559485,4914.768840299134,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-151303'}/checkpoint_step6000_tokens98304000.pt,30472.64
20250721-030335,477887,1085.495528616351,1985.7461168433776,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-030335'}/checkpoint_step6000_tokens98304000.pt,7852.24
20250720-030605,509971,106.46925057139634,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250720-030605'}/checkpoint_step6000_tokens98304000.pt,655.0
20250723-000809,509971,106.45894506571994,143.8469662358426,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250723-000809'}/checkpoint_step6000_tokens98304000.pt,653.42
20250722-221144,509971,106.44625492691857,139.42126035437516,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250722-221144'}/checkpoint_step6000_tokens98304000.pt,653.28
20250719-191217,615727,1329.2731670184055,802.313957927379,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-191217'}/checkpoint_step6000_tokens98304000.pt,1581.88
20250719-230452,826918,110.38947323198269,148.4131591025766,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-230452'}/checkpoint_step6000_tokens98304000.pt,548.22
20250719-210847,842469,8450.297286361585,9774.184947038395,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-210847'}/checkpoint_step6000_tokens98304000.pt,18693.76
20250719-112449,868671,2113.199972964094,3595.7216962228085,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250719-112449'}/checkpoint_step6000_tokens98304000.pt,20416.8
20250721-191550,904477,3029.7325567736007,4337.2682784832705,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-191550'}/checkpoint_step6000_tokens98304000.pt,12875.04
20250718-172641,935598,9285.572377750374,8625.687941050362,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250718-172641'}/checkpoint_step6000_tokens98304000.pt,14263.04
20250721-152314,986512,513.9693627541903,429.4477152409339,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250721-152314'}/checkpoint_step6000_tokens98304000.pt,998.18
20250814-185408,1009161,1033.5949866335025,1322.7920882144774,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-185408'}/checkpoint_step6000_tokens98304000.pt,3371.4
20250813-020341,1288886,1042.620416596202,1167.3599206126853,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250813-020341'}/checkpoint_step6000_tokens98304000.pt,5548.72
20250727-030225,1360681,115.98284444400568,148.4131591025766,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250727-030225'}/checkpoint_step6000_tokens98304000.pt,791.94
20250814-165733,1466829,156.018328050871,179.02044192165667,checkpoint_65536/ESN_ml (49.97M N65536_batch_size64_seq_len256_sigma_in1.0_spectral_radius0.99_sparsity0.99951171875_dropout0.0_r_out512_{'20250814-165733'}/checkpoint_step6000_tokens98304000.pt,3543.72
