id,final_train_perplexity,final_val_perplexity,msf_ppl
20250716-133630,46.990044965695404,52.83856317192114,348.0104595210201
20250716-100953,52.19460730871034,62.5978336281999,332.48184154254074
20250828-064036,353.3040863871364,396.04649660287816,461.9681030041933
20250829-041435,366.50501444693225,417.218019380208,489.7827353140585
20250718-145529,363.8620341870981,421.2814364624633,510.25948693454035
20250829-060236,376.24719208920874,425.58893939766716,524.0016695825764
20250829-024500,380.90089191775354,432.0404056415634,479.0301583166434
20250828-060449,362.00113199076264,432.0931481679755,475.1519212935581
20250828-051107,371.25908378617044,433.19293435943774,453.8082018181682
20250829-005726,375.6710143389899,448.057823597708,520.8981170566291
20250829-033850,376.7074771642735,451.8138608544524,522.0393867567019
20250828-062243,379.94002399092665,452.68357297508453,484.75536304855325
20250828-065829,367.31698862103514,454.02148112554164,483.5443976869729
20250829-022701,372.3684153488209,455.796080208046,471.0104650939308
20250828-232758,377.33040308015137,456.06174770238556,496.5670961405955
20250829-063818,365.20150727468103,457.8181241063148,470.42178257319057
20250829-032055,378.0351074566601,457.8737951876509,506.76178224161396
20250828-041721,376.3263196196502,458.23702403623605,445.7924317678914
20250829-052700,372.9162326162068,458.3137255133681,485.513755952437
20250718-030229,373.857911224456,458.71295518607843,490.70238889804745
20250829-054447,364.2071215658978,459.6796714634668,514.5851366490032
20250829-002139,379.6184031246432,462.47869655308165,514.5851366490032
20250829-035642,367.6371278111837,465.4403345000909,454.8024798418749
20250829-011521,368.83006798722755,465.67720392874264,502.1877774684934
20250829-043227,371.86005585976295,466.88718120651805,488.4064856328262
20250828-030535,359.66612903848176,466.9219126467222,470.12771727749436
20250829-045049,371.90580638052063,469.6237126662684,525.1497390585453
20250718-170909,372.0427369103379,472.714725079526,457.6552940700119
20250829-030258,367.2807342797864,473.257819150971,476.9379598157244
20250828-234549,364.92768516596783,477.15525080347544,500.6201259409499
20250829-015110,368.1606044267465,477.81188532175116,519.1097320929415
20250828-035918,364.842429696966,480.4756516144856,482.78908100351583
20250828-052859,370.8654006332701,481.9816469107258,427.9027479240068
20250829-003933,367.4119324002598,482.5956751504583,510.5786546870318
20250829-062026,375.35354415492657,483.19182257182666,454.66030686220984
20250829-013316,369.5391606850307,485.2650535553093,515.8738389461388
20250828-054657,365.8493657474269,487.5670661817275,485.05857794939106
20250828-045314,374.3315160619044,497.6087231190581,518.4609337152486
20250828-032330,367.4837696435493,497.77460831532215,504.8640593910468
20250829-000345,381.87038088795106,499.0244374728395,476.19296266604016
20250829-020905,381.93338922112343,499.83056011744833,479.4796792627184
20250828-043519,380.3692757166997,501.1307124063375,509.14397016246096
20250829-050909,377.4831904632705,502.7743247268554,512.3376492355268
20250718-051617,372.6696773785637,508.87627588855696,500.6201259409499
20250828-034124,370.05758139692983,509.9350921198742,514.9070100991499
