id,seed,final_train_perplexity,final_val_perplexity,model_dir,model_path,msf_ppl
20250926-103311,20717,526.1954300305312,624.8427387029609,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103311'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103311'}/checkpoint_step1700_tokens87040000.pt,3459.52
20250926-105156,93458,1401.7125525143688,1242.6481670549958,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105156'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105156'}/checkpoint_step1700_tokens87040000.pt,19229.44
20250926-103315,99642,1221.4439941824505,1282.0940541998355,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103315'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103315'}/checkpoint_step1700_tokens87040000.pt,15432.32
20250926-105215,111575,929.2628095725632,967.7753655846766,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105215'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105215'}/checkpoint_step1700_tokens87040000.pt,8967.36
20250926-105220,260185,1400.019878564991,1364.7820165072585,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105220'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105220'}/checkpoint_step1700_tokens87040000.pt,18471.68
20250926-103309,298609,939.3038601940765,998.495853382024,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103309'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103309'}/checkpoint_step1700_tokens87040000.pt,9021.76
20250926-105229,355633,498.6878469851331,534.4563168515505,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105229'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-105229'}/checkpoint_step1700_tokens87040000.pt,3270.32
20250926-103353,406470,756.8183096120197,686.2554949467076,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103353'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103353'}/checkpoint_step1700_tokens87040000.pt,5791.2
20250926-103433,409964,1294.9993700309053,1242.6481670549958,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103433'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103433'}/checkpoint_step1700_tokens87040000.pt,15275.2
20250926-103356,491904,499.840332062109,624.8427387029609,checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103356'},checkpoint/ESN_ml (53.39M N1024_nro8_batch_size100_seq_len512_sigma_in1.0_spectral_radius0.99_sparsity0.96875_dropout0.0_r_out512_{'20250926-103356'}/checkpoint_step1700_tokens87040000.pt,3345.52
